date,product,category,quantity,unit_price,revenue,region,customer_type
2024-01-01,Widget Pro,Electronics,6,29.99,179.94,North America,B2B
2024-01-02,Gadget X,Hardware,3,49.99,149.97,Europe,B2C
2024-01-03,Sensor Plus,Accessories,18,19.99,359.82,Asia Pacific,B2B
2024-01-04,Cable Kit,Components,5,9.99,49.95,Latin America,B2C
2024-01-05,Power Unit,Electronics,1,79.99,79.99,North America,B2B
2024-01-06,LED Panel,Hardware,15,39.99,599.85,Europe,B2C
2024-01-07,Micro Board,Accessories,18,59.99,1079.82,Asia Pacific,B2B
2024-01-08,Relay Switch,Components,3,24.99,74.97,Latin America,B2C
2024-01-09,Widget Pro,Electronics,15,29.99,449.85,North America,B2B
2024-01-10,Gadget X,Hardware,2,49.99,99.98,Europe,B2C
2024-01-11,Sensor Plus,Accessories,20,19.99,399.80,Asia Pacific,B2B
2024-01-12,Cable Kit,Components,4,9.99,39.96,Latin America,B2C
2024-01-13,Power Unit,Electronics,6,79.99,479.94,North America,B2B
2024-01-14,LED Panel,Hardware,19,39.99,759.81,Europe,B2C
2024-01-15,Micro Board,Accessories,2,59.99,119.98,Asia Pacific,B2B
2024-01-16,Relay Switch,Components,6,24.99,149.94,Latin America,B2C
2024-01-17,Widget Pro,Electronics,3,29.99,89.97,North America,B2B
2024-01-18,Gadget X,Hardware,8,49.99,399.92,Europe,B2C
2024-01-19,Sensor Plus,Accessories,20,19.99,399.80,Asia Pacific,B2B
2024-01-20,Cable Kit,Components,14,9.99,139.86,Latin America,B2C
2024-01-21,Power Unit,Electronics,15,79.99,1199.85,North America,B2B
2024-01-22,LED Panel,Hardware,15,39.99,599.85,Europe,B2C
2024-01-23,Micro Board,Accessories,4,59.99,239.96,Asia Pacific,B2B
2024-01-24,Relay Switch,Components,20,24.99,499.80,Latin America,B2C
2024-01-25,Widget Pro,Electronics,17,29.99,509.83,North America,B2B
2024-01-26,Gadget X,Hardware,4,49.99,199.96,Europe,B2C
2024-01-27,Sensor Plus,Accessories,8,19.99,159.92,Asia Pacific,B2B
2024-01-28,Cable Kit,Components,7,9.99,69.93,Latin America,B2C
2024-01-01,Power Unit,Electronics,4,79.99,319.96,North America,B2B
2024-01-02,LED Panel,Hardware,4,39.99,159.96,Europe,B2C
2024-01-03,Micro Board,Accessories,5,59.99,299.95,Asia Pacific,B2B
2024-01-04,Relay Switch,Components,11,24.99,274.89,Latin America,B2C
2024-01-05,Widget Pro,Electronics,20,29.99,599.80,North America,B2B
2024-01-06,Gadget X,Hardware,12,49.99,599.88,Europe,B2C
2024-01-07,Sensor Plus,Accessories,3,19.99,59.97,Asia Pacific,B2B
2024-01-08,Cable Kit,Components,18,9.99,179.82,Latin America,B2C
2024-01-09,Power Unit,Electronics,19,79.99,1519.81,North America,B2B
2024-01-10,LED Panel,Hardware,19,39.99,759.81,Europe,B2C
2024-01-11,Micro Board,Accessories,3,59.99,179.97,Asia Pacific,B2B
2024-01-12,Relay Switch,Components,14,24.99,349.86,Latin America,B2C
2024-01-13,Widget Pro,Electronics,7,29.99,209.93,North America,B2B
2024-01-14,Gadget X,Hardware,15,49.99,749.85,Europe,B2C
2024-02-15,Sensor Plus,Accessories,20,19.99,399.80,Asia Pacific,B2B
2024-02-16,Cable Kit,Components,16,9.99,159.84,Latin America,B2C
2024-02-17,Power Unit,Electronics,19,79.99,1519.81,North America,B2B
2024-02-18,LED Panel,Hardware,20,39.99,799.80,Europe,B2C
2024-02-19,Micro Board,Accessories,18,59.99,1079.82,Asia Pacific,B2B
2024-02-20,Relay Switch,Components,8,24.99,199.92,Latin America,B2C
2024-02-21,Widget Pro,Electronics,3,29.99,89.97,North America,B2B
2024-02-22,Gadget X,Hardware,16,49.99,799.84,Europe,B2C
2024-02-23,Sensor Plus,Accessories,16,19.99,319.84,Asia Pacific,B2B
2024-02-24,Cable Kit,Components,19,9.99,189.81,Latin America,B2C
2024-02-25,Power Unit,Electronics,7,79.99,559.93,North America,B2B
2024-02-26,LED Panel,Hardware,7,39.99,279.93,Europe,B2C
2024-02-27,Micro Board,Accessories,11,59.99,659.89,Asia Pacific,B2B
2024-02-28,Relay Switch,Components,19,24.99,474.81,Latin America,B2C
2024-02-01,Widget Pro,Electronics,11,29.99,329.89,North America,B2B
2024-02-02,Gadget X,Hardware,8,49.99,399.92,Europe,B2C
2024-02-03,Sensor Plus,Accessories,6,19.99,119.94,Asia Pacific,B2B
2024-02-04,Cable Kit,Components,3,9.99,29.97,Latin America,B2C
2024-02-05,Power Unit,Electronics,7,79.99,559.93,North America,B2B
2024-02-06,LED Panel,Hardware,19,39.99,759.81,Europe,B2C
2024-02-07,Micro Board,Accessories,5,59.99,299.95,Asia Pacific,B2B
2024-02-08,Relay Switch,Components,5,24.99,124.95,Latin America,B2C
2024-02-09,Widget Pro,Electronics,4,29.99,119.96,North America,B2B
2024-02-10,Gadget X,Hardware,13,49.99,649.87,Europe,B2C
2024-02-11,Sensor Plus,Accessories,3,19.99,59.97,Asia Pacific,B2B
2024-02-12,Cable Kit,Components,11,9.99,109.89,Latin America,B2C
2024-02-13,Power Unit,Electronics,15,79.99,1199.85,North America,B2B
2024-02-14,LED Panel,Hardware,17,39.99,679.83,Europe,B2C
2024-02-15,Micro Board,Accessories,14,59.99,839.86,Asia Pacific,B2B
